,transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,year,month,day,order_value_raw
0,180,2022-11-05,10:47:00,117,Male,41,Clothing,3.0,300.0,129.0,900.0,2022,11,5,180
1,522,2022-07-09,11:00:00,52,Male,46,Beauty,3.0,500.0,145.0,1500.0,2022,7,9,522
2,559,2022-12-12,10:48:00,5,Female,40,Clothing,4.0,300.0,84.0,1200.0,2022,12,12,559
3,1180,2022-01-06,08:53:00,85,Male,41,Clothing,3.0,300.0,129.0,900.0,2022,1,6,1180
4,1522,2022-11-14,08:35:00,48,Male,46,Beauty,3.0,500.0,235.0,1500.0,2022,11,14,1522
5,1559,2022-08-20,07:40:00,49,Female,40,Clothing,4.0,300.0,144.0,1200.0,2022,8,20,1559
6,163,2022-10-31,09:38:00,144,Female,64,Clothing,3.0,50.0,23.0,150.0,2022,10,31,163
7,303,2022-04-22,11:09:00,54,Male,19,Electronics,3.0,30.0,14.7,90.0,2022,4,22,303
8,421,2022-04-08,08:43:00,66,Female,37,Clothing,3.0,500.0,235.0,1500.0,2022,4,8,421
9,979,2022-05-18,10:18:00,6,Female,19,Beauty,1.0,25.0,10.5,25.0,2022,5,18,979
10,1163,2022-05-04,10:52:00,120,Female,64,Clothing,3.0,50.0,27.0,150.0,2022,5,4,1163
11,1303,2022-03-19,08:59:00,58,Male,19,Electronics,3.0,30.0,15.0,90.0,2022,3,19,1303
12,1421,2022-01-17,07:07:00,59,Female,37,Clothing,3.0,500.0,185.0,1500.0,2022,1,17,1421
13,1979,2022-08-17,11:34:00,102,Female,19,Beauty,1.0,25.0,7.75,25.0,2022,8,17,1979
14,610,2022-12-18,06:56:00,137,Female,26,Beauty,2.0,300.0,93.0,600.0,2022,12,18,610
15,1610,2022-11-23,10:18:00,1,Female,26,Beauty,2.0,300.0,102.0,600.0,2022,11,23,1610
16,32,2022-07-16,09:11:00,150,Male,30,Beauty,3.0,30.0,8.4,90.0,2022,7,16,32
17,231,2022-07-09,07:02:00,50,Female,23,Clothing,3.0,50.0,26.5,150.0,2022,7,9,231
18,683,2022-03-06,10:22:00,82,Male,38,Beauty,2.0,500.0,175.0,1000.0,2022,3,6,683
19,1032,2022-04-01,08:15:00,1,Male,30,Beauty,3.0,30.0,10.5,90.0,2022,4,1,1032
20,1231,2022-01-29,07:05:00,12,Female,23,Clothing,3.0,50.0,23.0,150.0,2022,1,29,1231
21,1683,2022-05-04,07:19:00,98,Male,38,Beauty,2.0,500.0,220.0,1000.0,2022,5,4,1683
22,367,2022-12-30,07:03:00,123,Female,57,Electronics,1.0,50.0,18.0,50.0,2022,12,30,367
23,391,2022-03-25,07:37:00,68,Male,19,Beauty,2.0,25.0,6.25,50.0,2022,3,25,391
34,1797,2022-04-16,11:47:00,147,Male,40,Clothing,3.0,25.0,12.25,75.0,2022,4,16,1797
35,1921,2022-02-08,07:01:00,77,Male,51,Electronics,3.0,25.0,7.5,75.0,2022,2,8,1921
36,291,2022-11-22,08:29:00,15,Male,60,Clothing,2.0,300.0,126.0,600.0,2022,11,22,291
